gene_id	cell_type
BCAS1	vGLUT_depleted
BCLAF1	vGLUT_depleted
BEX1	vGLUT_depleted
CACNB4	vGLUT_depleted
CALB1	vGLUT_depleted
CAP2	vGLUT_depleted
CA10	vGLUT_depleted
CCDC88A	vGLUT_depleted
CCNH	vGLUT_depleted
CCPG1	vGLUT_depleted
CCSAP	vGLUT_depleted
CDH13	vGLUT_depleted
CELF4	vGLUT_depleted
CHM	vGLUT_depleted
CMIP	vGLUT_depleted
CTR9	vGLUT_depleted
CTSB	vGLUT_depleted
CTSS	vGLUT_depleted
CUL2	vGLUT_depleted
CUL4B	vGLUT_depleted
DDX3Y	vGLUT_depleted
DDX5	vGLUT_depleted
DHX36	vGLUT_depleted
DNAJA1	vGLUT_depleted
DNAJC8	vGLUT_depleted
DNM1L	vGLUT_depleted
DNTTIP2	vGLUT_depleted
DZIP3	vGLUT_depleted
EBAG9	vGLUT_depleted
EEA1	vGLUT_depleted
EGR1	vGLUT_depleted
EIF5B	vGLUT_depleted
ELAVL4	vGLUT_depleted
ELMOD1	vGLUT_depleted
EMC4	vGLUT_depleted
ERMN	vGLUT_depleted
F5	vGLUT_depleted
FAM19A1	vGLUT_depleted
FBXL2	vGLUT_depleted
FCHO2	vGLUT_depleted
FGF12	vGLUT_depleted
FSTL5	vGLUT_depleted
GAD2	vGLUT_depleted
GCC2	vGLUT_depleted
GDE1	vGLUT_depleted
GGNBP2	vGLUT_depleted
HERPUD1	vGLUT_depleted
HEXA	vGLUT_depleted
HIPK2	vGLUT_depleted
HSP90AA1	vGLUT_depleted
HSPA8	vGLUT_depleted
HSPH1	vGLUT_depleted
IDH3A	vGLUT_depleted
IER3IP1	vGLUT_depleted
IFT74	vGLUT_depleted
IGF2	vGLUT_depleted
IK	vGLUT_depleted
INPP5F	vGLUT_depleted
ITGA4	vGLUT_depleted
JAGN1	vGLUT_depleted
KCNAB1	vGLUT_depleted
KCNIP4	vGLUT_depleted
KCTD4	vGLUT_depleted
KIF3A	vGLUT_depleted
KIFAP3	vGLUT_depleted
LIN7A	vGLUT_depleted
LRCH2	vGLUT_depleted
MANEAL	vGLUT_depleted
MAP7D2	vGLUT_depleted
MATR3	vGLUT_depleted
MBNL2	vGLUT_depleted
MDH1	vGLUT_depleted
MEF2A	vGLUT_depleted
MEF2C	vGLUT_depleted
MESDC2	vGLUT_depleted
MICU3	vGLUT_depleted
MMP17	vGLUT_depleted
MOBP	vGLUT_depleted
MPHOSPH8	vGLUT_depleted
MPP5	vGLUT_depleted
NAE1	vGLUT_depleted
NAP1L1	vGLUT_depleted
NAP1L2	vGLUT_depleted
NAP1L3	vGLUT_depleted
NAP1L5	vGLUT_depleted
NDN	vGLUT_depleted
NECAB1	vGLUT_depleted
NEMF	vGLUT_depleted
NEUROD6	vGLUT_depleted
NFIA	vGLUT_depleted
NFIC	vGLUT_depleted
NKRF	vGLUT_depleted
NOVA1	vGLUT_depleted
NTM	vGLUT_depleted
OCIAD1	vGLUT_depleted
OGFRL1	vGLUT_depleted
OLA1	vGLUT_depleted
OLFM1	vGLUT_depleted
OLFM3	vGLUT_depleted
OLFML3	vGLUT_depleted
OXSR1	vGLUT_depleted
PAK1IP1	vGLUT_depleted
PALM2	vGLUT_depleted
PCM1	vGLUT_depleted
PCP4	vGLUT_depleted
PDE1A	vGLUT_depleted
PDS5B	vGLUT_depleted
PEX14	vGLUT_depleted
PHYHIPL	vGLUT_depleted
PLBD2	vGLUT_depleted
PLCB4	vGLUT_depleted
PLK2	vGLUT_depleted
PLS3	vGLUT_depleted
PPID	vGLUT_depleted
PPP1R12A	vGLUT_depleted
PPP2R2A	vGLUT_depleted
PPP3CA	vGLUT_depleted
PPP3R1	vGLUT_depleted
PRR18	vGLUT_depleted
PRUNE2	vGLUT_depleted
PSIP1	vGLUT_depleted
PSMA4	vGLUT_depleted
PTPRN2	vGLUT_depleted
RAB11FIP2	vGLUT_depleted
RAB3A	vGLUT_depleted
RAB6A	vGLUT_depleted
RAD23B	vGLUT_depleted
RASGRP1	vGLUT_depleted
RB1CC1	vGLUT_depleted
RBFOX1	vGLUT_depleted
RBM26	vGLUT_depleted
REEP2	vGLUT_depleted
RGS17	vGLUT_depleted
RGS2	vGLUT_depleted
RGS4	vGLUT_depleted
RGS7BP	vGLUT_depleted
RNF24	vGLUT_depleted
ROCK2	vGLUT_depleted
RTN4RL2	vGLUT_depleted
